url_length,special_char_count,path_entropy,user_agent_length,has_anomalous_headers,request_body_size,is_malicious
69,2,3.508489089560658,91,0,1522,0
71,2,3.0151979135291445,93,0,748,0
32,2,2.469510674612602,72,0,126,0
52,1,3.042298656009004,15,1,69,1
89,13,3.426987723161839,82,0,617,1
43,1,3.2037922164514843,68,0,1186,0
19,2,3.265176126790496,97,0,1965,0
88,13,3.3820307828828495,76,0,74,1
58,2,3.3976428182405463,6,1,29,1
33,1,3.7729957225407325,102,0,847,0
140,4,3.503725669260942,111,0,181,1
104,11,3.94875453996715,120,0,261,1
23,2,2.0535629747547413,27,1,36,1
89,13,3.5577844885615972,90,1,246,1
79,2,2.114347299790932,88,0,958,0
57,1,2.8464227353270246,14,1,100,1
67,1,3.3614457370749617,77,0,1003,0
17,0,2.5565036317870007,103,0,733,0
18,0,2.706917618297976,84,0,1015,0
27,3,3.0463213091771255,61,0,181,0
83,7,4.241984040807353,84,0,375,1
19,1,3.3597619009205353,115,0,306,0
53,2,2.62382359571086,84,0,501,0
48,0,3.462982788564982,19,1,23,1
17,0,2.9181966455001005,118,0,1791,0
110,9,3.0748208674018698,99,0,736,1
162,15,3.888271849424486,106,1,141,1
66,1,3.4545802902188374,109,0,689,0
27,0,2.5983880311107765,107,0,1626,0
56,3,2.9759538676377155,64,0,318,0
59,3,3.8874544424091155,120,0,344,0
26,2,2.507129872748477,83,0,1051,0
21,3,3.204173832370457,118,0,495,0
56,13,4.3717594307572085,119,0,116,1
25,2,2.6756197275084688,13,1,23,1
51,1,2.332094592832718,3,1,7,1
71,2,3.464763781962984,107,0,1545,0
80,8,4.337529013377547,108,1,202,1
38,2,3.970424032644064,80,0,286,0
48,1,2.1109949693096413,17,1,13,1
79,3,2.657907318709724,97,0,1237,0
64,0,2.8582360455129203,63,0,230,0
60,2,2.891038467615571,19,1,97,1
63,3,2.2079838448045703,89,0,1669,0
29,2,3.9147231158382034,106,0,379,0
58,1,2.228025674653357,117,0,1652,0
56,1,3.391548052023966,63,0,1076,0
51,9,3.620486281166922,84,0,975,1
60,3,3.6714183563755176,67,0,1146,0
22,0,3.984593301360332,66,0,1532,0
26,0,2.201640207504304,78,0,1060,0
27,0,2.9793648215223794,104,0,1670,0
42,0,3.3384789347093147,79,0,254,0
53,1,2.090936241096604,0,1,92,1
31,3,2.806684694844165,81,0,1348,0
24,3,2.4389817840950663,92,0,1253,0
99,14,3.5572690450095537,103,0,419,1
139,11,4.488448549035322,100,0,900,1
55,2,3.651702793876807,76,0,1657,0
37,1,2.964256653174848,64,0,455,0
20,1,3.967720104136215,110,0,1545,0
32,0,3.4684442800839443,79,0,1558,0
62,14,4.275566081026127,81,0,421,1
46,3,3.2322443437322477,76,0,832,0
50,3,2.2874779757703187,85,0,1575,0
22,0,3.0798218932546924,77,0,1093,0
26,1,2.6856625112253294,20,1,63,1
101,18,4.3638486646779295,76,1,154,1
54,0,3.9221817925286437,105,0,1503,0
75,1,3.695735951666938,111,0,1478,0
37,0,3.727449271162085,101,0,1370,0
15,2,2.552657929503299,115,0,837,0
21,2,2.2282658967435642,11,1,81,1
33,1,2.0143242997752906,22,1,68,1
186,7,4.0460098452103885,111,1,13,1
23,2,2.2622493389132745,21,1,83,1
71,1,3.0824153696624217,65,0,1327,0
15,1,2.2974392272320037,66,0,1765,0
19,0,3.616406843023542,72,0,136,0
38,0,3.019751611980984,109,0,1083,0
15,0,3.40011736055171,69,0,285,0
24,2,3.631626374123684,113,0,490,0
48,2,3.5518783465489667,99,0,847,0
116,13,3.719169032063223,110,1,2,1
80,3,2.9047463649534566,93,0,507,0
49,2,2.46726975999624,63,0,170,0
150,8,4.03217558331737,63,0,330,1
57,3,3.918759255234728,94,0,975,0
80,8,4.345044109554145,88,0,140,1
24,0,2.1902391874867266,89,0,271,0
18,2,2.759957522291101,119,0,825,0
142,12,3.78960771663819,117,1,398,1
43,2,3.00310994501435,12,1,73,1
45,2,2.9239397844386072,101,0,1211,0
100,10,3.027572605336858,61,0,628,1
71,0,3.0166206832911096,62,0,955,0
42,0,2.0496243195190793,120,0,719,0
107,9,3.929427218075567,118,0,288,1
47,2,2.9287926605537926,25,1,67,1
29,1,2.8220248426575507,82,0,484,0
34,2,3.07895905389865,86,0,771,0
32,2,3.1551212640148574,75,0,683,0
24,1,2.9540643215730933,118,0,1448,0
49,1,2.034801669164487,104,0,552,0
46,2,3.8714255568826608,63,0,1934,0
55,0,3.4501805538255725,116,0,255,0
59,3,3.787011389256147,116,0,1970,0
15,3,3.628464418219558,94,0,454,0
60,1,3.279877172481347,117,0,1473,0
44,0,2.457279037328309,73,0,509,0
72,1,2.7049879433057167,92,0,972,0
76,0,3.282275756330295,71,0,618,0
29,3,2.870002455889463,94,0,235,0
55,2,2.1702478381604635,90,0,116,0
47,1,2.1495561437146193,105,0,538,0
20,0,2.4517913355821612,84,0,424,0
94,11,3.5090572734781618,74,0,823,1
71,2,3.4171673935213684,110,0,1676,0
31,1,3.447588639200537,11,1,91,1
58,0,3.712196741035023,93,0,1500,0
35,3,3.7649464265061514,76,0,98,0
62,2,2.661520655387031,107,0,1344,0
75,2,3.2931870554494083,111,0,1256,0
94,7,3.326227759021583,77,0,803,1
91,9,4.1348310735154685,100,1,177,1
107,4,4.476503152300756,71,0,663,1
55,3,2.4999444747328727,92,0,446,0
55,3,3.540464414759946,80,0,817,0
139,8,4.190525274218691,104,0,429,1
35,3,2.202008756298141,96,0,308,0
78,3,3.639498360882814,101,0,1233,0
43,1,3.603565484614477,112,0,1134,0
70,1,3.505977932181467,102,0,187,0
47,2,2.497835701049327,105,0,1562,0
43,1,3.199406201795065,118,0,797,0
39,0,2.09332679588918,86,0,1247,0
159,17,4.4957139744010455,95,1,479,1
108,25,3.731410592625713,81,1,42,1
85,10,3.194523856089449,96,0,79,1
26,3,2.7375115185566132,112,0,580,0
39,0,3.425503781519221,72,0,437,0
28,2,3.482384514543885,63,0,628,0
69,1,3.725555599214369,108,0,968,0
33,3,2.032397025920419,77,0,1338,0
49,0,2.1042142675704367,68,0,350,0
62,2,2.3285010074288364,114,0,931,0
35,0,2.7727609252353154,106,0,943,0
76,3,2.242764286918935,64,0,669,0
101,14,4.226873277012418,99,0,390,1
66,0,2.257127637206804,101,0,1650,0
49,2,3.345522859866407,120,0,808,0
79,10,4.39804830791369,119,0,873,1
79,1,3.021377007677833,65,0,1284,0
116,11,4.19189966747878,69,0,964,1
41,2,3.185979282348944,120,0,10,0
178,8,3.5154370209820414,68,0,136,1
29,2,3.5639725078055076,94,0,1107,0
40,2,3.860285643630827,93,0,1625,0
73,0,2.4539970101028565,97,0,1966,0
48,0,2.6954315528064967,70,0,210,0
61,3,3.9300741508793005,88,0,1702,0
21,1,2.6492655673648207,90,0,277,0
62,3,3.391040349889952,108,0,1685,0
20,0,3.225721941956336,112,0,441,0
73,2,2.689199536462789,101,0,1121,0
68,9,4.165030744551068,117,0,650,1
85,9,4.181029831555495,63,0,270,1
59,4,3.482727956610914,111,0,606,1
39,3,2.006440349370804,114,0,1664,0
56,0,3.9940481084006354,68,0,1116,0
167,9,3.9295354670346683,104,0,478,1
52,2,2.116482426654775,109,0,473,0
81,12,4.081541738380382,61,1,114,1
38,0,2.7704487997183502,93,0,984,0
46,2,2.312277346671064,97,0,387,0
55,1,3.814123664696012,102,0,1592,0
21,1,3.99108862334112,96,0,840,0
71,0,2.966296195403264,112,0,1790,0
75,2,3.5317402553021653,79,0,410,0
23,0,2.2682740260708227,64,0,1330,0
19,3,2.8945180528513026,94,0,86,0
80,0,3.714291074103391,101,0,1707,0
19,1,2.608115606865045,90,0,1350,0
54,1,3.960079242460579,75,0,1906,0
150,4,4.404701965570777,62,0,162,1
75,3,2.549962101061153,101,0,143,0
79,3,2.7969857071284303,99,0,0,0
53,3,2.7231405414559235,20,1,25,1
49,1,2.416796470703085,11,1,30,1
56,3,3.1824597803781125,84,0,1986,0
37,3,2.061437061037028,7,1,63,1
